"species","functional_group","r_functional_group:comname",".lower",".upper",".width",".point",".interval","comname","mean_dist","dist_group"
"American lobster","Benthivore",0.00830156754595009,-0.0964833249475685,0.116052863655597,0.95,"median","qi","American lobster",59.3777790980762,"Short (0–25%)"
"American plaice","Benthivore",0.00420688878415163,-0.102582143042529,0.1109546273513,0.95,"median","qi","American plaice",30.4449960364685,"Short (0–25%)"
"American shad","Planktivore",-0.0611657586593615,-0.179852695096573,0.0525737555620927,0.95,"median","qi","American shad",240.998961432244,"Long (75–100%)"
"Atlantic cod","Piscivore",-0.0390723356150809,-0.148257114596687,0.0681876838731102,0.95,"median","qi","Atlantic cod",56.1475526460898,"Short (0–25%)"
"Atlantic herring","Planktivore",0.00182914498919181,-0.113089903966847,0.113211735189047,0.95,"median","qi","Atlantic herring",268.643320020169,"Long (75–100%)"
"Atlantic mackerel","Planktivore",-0.048566266028619,-0.167290376257415,0.0630400722516714,0.95,"median","qi","Atlantic mackerel",363.950176935046,"Long (75–100%)"
"Atlantic rock crab","Benthivore",0.11121683107571,0.00383227910582182,0.222063590857889,0.95,"median","qi","Atlantic rock crab",199.7238519862,"Long (75–100%)"
"Bay anchovy","Planktivore",0.0775251869021661,-0.0414999680315941,0.199639035179477,0.95,"median","qi","Bay anchovy",NA,NA
"Black sea bass","Benthivore",0.0331123567166217,-0.0724679127813725,0.139629616861742,0.95,"median","qi","Black sea bass",148.14037126028,"Medium (25–75%)"
"Blackbelly rosefish","Planktivore",0.00801772693627163,-0.10715894547249,0.121552941451938,0.95,"median","qi","Blackbelly rosefish",203.981038644368,"Long (75–100%)"
"Blueback herring","Planktivore",-0.0424406477862866,-0.161646808890945,0.0687853543167499,0.95,"median","qi","Blueback herring",NA,NA
"Butterfish","Planktivore",0.182408700946214,0.0661014175686922,0.303380122985316,0.95,"median","qi","Butterfish",164.694341603619,"Medium (25–75%)"
"Clearnose skate","Piscivore",0.0185209507525425,-0.0967274197289134,0.132436713684159,0.95,"median","qi","Clearnose skate",NA,NA
"Cunner","Benthivore",0.0437127409320187,-0.061836261846979,0.152076187455995,0.95,"median","qi","Cunner",94.3493350106632,"Medium (25–75%)"
"Cusk","Piscivore",0.0852890782871993,-0.0253205126695439,0.19498231750983,0.95,"median","qi","Cusk",NA,NA
"Fawn cusk-eel","Benthivore",0.0224155575877964,-0.081326238768905,0.128958859999544,0.95,"median","qi","Fawn cusk-eel",124.322860128034,"Medium (25–75%)"
